title,company name,location,sallary
"Golang Backend DeveloperRolling Glory - Creative Digital EnablerBandungIDR 8M - 13.000.000  per bulan genuine, fun & professional working cultureremote working with multi-disciplined super teamopportunity to working on high-profile digital products6 jam yang lalu",Rolling Glory - Creative Digital Enabler,Bandung,IDR 8M - 13.000.000  per bulan 
Web DeveloperCV. Infonet Global TechBandungIDR 4.5M - 5.500.000  per bulan Flexible working hoursHealth benefitsPositive environment19 jam yang lalu,CV. Infonet Global Tech,Bandung,IDR 4.5M - 5.500.000  per bulan 
"ProgrammerPT Bayu Sinergi SolusiBandungIDR 4.5M - 7.500.000  per bulan Gaji, bpjstk, bpjsks, bonus, thr, training19 jam yang lalu",PT Bayu Sinergi Solusi,Bandung,IDR 4.5M - 7.500.000  per bulan 
BACKEND DEVELOPER - LARAVELPT Folka Indonesia TeknologiJawa BaratIDR 4M - 5.500.000  per bulan 19 jam yang lalu,PT Folka Indonesia Teknologi,Jawa Barat,IDR 4M - 5.500.000  per bulan 
Programming Technical TrainerPT Kirana Tama Teknologi (Emveep)BandungHybrid Working CultureCasual & Fun7 jam yang lalu,PT Kirana Tama Teknologi (Emveep),Bandung,no sallary information
PHP ProgrammerPentacode DigitalBandung7 hari yang lalu,Pentacode Digital,Bandung,no sallary information
IT PROGRAMMERPT Multi Star Rukun Abadi (Sharon Bakery)Bandung3 hari yang lalu,PT Multi Star Rukun Abadi (Sharon Bakery),Bandung,no sallary information
Junior Web Developer (Code: DEV)PT Valuestream InternationalBandung7 hari yang lalu,PT Valuestream International,Bandung,no sallary information
"WEB DeveloperPT Fan Integrasi TeknologiBekasi, BandungMedical coverageCareer developmentTeam building events6 hari yang lalu",PT Fan Integrasi Teknologi,"Bekasi, Bandung",no sallary information
Web DeveloperPT Citraraya NusatamaBandung8 hari yang lalu,PT Citraraya Nusatama,Bandung,no sallary information
"SharePoint Developers (Full Remote)DevStackBandung, Bali, Jakarta RayaIDR 12M - 17.000.000  per bulan Full remote workingEnjoyable and collaborative working environmentWell-designed career path2 hari yang lalu",DevStack,"Bandung, Bali, Jakarta Raya",IDR 12M - 17.000.000  per bulan 
BACKEND DEVELOPER - NODE JSPT Folka Indonesia TeknologiJawa BaratIDR 4M - 5.500.000  per bulan 19 jam yang lalu,PT Folka Indonesia Teknologi,Jawa Barat,IDR 4M - 5.500.000  per bulan 
Web ProgrammerPT Cikal Buana PersadaBandungUang Makan + Free LunchBPJS KesehatanBonus Insentif & Kesempatan Haji6 hari yang lalu,PT Cikal Buana Persada,Bandung,no sallary information
Backend DeveloperShirobyte Teknologi IndonesiaJawa Barat5 hari yang lalu,Shirobyte Teknologi Indonesia,Jawa Barat,no sallary information
Web DeveloperCV NETZONE MEDIABandung10 hari yang lalu,CV NETZONE MEDIA,Bandung,no sallary information
"Backend EngineerPT Kode Inovasi Teknologi (CODR)Yogyakarta, Jakarta Raya, Bandung, Bogor, Surabaya, Makassar, SemarangStartup Knowledge and Working CulturePersonal DevelopmentFlexible Time (Remote Working)6 hari yang lalu",PT Kode Inovasi Teknologi (CODR),"Yogyakarta, Jakarta Raya, Bandung, Bogor, Surabaya, Makassar, Semarang",no sallary information
PROGRAMMERPT WHALEZ DIGITAL TEKNOLOGI BandungJawa BaratIDR 5M - 10.000.000  per bulan Bonus Setiap ProjectTunjangan Hari Raya7 hari yang lalu,PT WHALEZ DIGITAL TEKNOLOGI Bandung,Jawa Barat,IDR 5M - 10.000.000  per bulan 
IT Programming DevelopmentPT Askara InternalJawa Barat8 hari yang lalu,PT Askara Internal,Jawa Barat,no sallary information
Senior Web Programmer (Laravel)Velo TeknologiBandungIDR 5M - 8.000.000  per bulan 13 hari yang lalu,Velo Teknologi,Bandung,IDR 5M - 8.000.000  per bulan 
WEB ENGINEERPT Sense Health IndonesiaBandungIDR 10M - 18.000.000  per bulan Career / Development opportunitiesSalary / CompensationJob Security12 hari yang lalu,PT Sense Health Indonesia,Bandung,IDR 10M - 18.000.000  per bulan 
"Web ProgrammerCV Kabayan ConsultingBandung, Cimahi14 hari yang lalu",CV Kabayan Consulting,"Bandung, Cimahi",no sallary information
"Backend - Frontend Web Developer (.NET Core, Golang, Laravel, NestJS, NuxtJS, VueJS, Java Spring Boot)Rolling Glory - Creative Digital EnablerJakarta Raya, Jawa Barat, Jawa TengahIDR 6M - 12.000.000  per bulan fun and positive atmosphere with friendly and passionate peopleopportunity to grow, personally and professionallyinvolvement in development of the high quality digital products12 hari yang lalu",Rolling Glory - Creative Digital Enabler,"Jakarta Raya, Jawa Barat, Jawa Tengah",IDR 6M - 12.000.000  per bulan 
"Golang Backend DeveloperRolling Glory - Creative Digital EnablerBandungIDR 8M - 13.000.000  per bulan genuine, fun & professional working cultureremote working with multi-disciplined super teamopportunity to working on high-profile digital products6 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",Rolling Glory - Creative Digital Enabler,Bandung,IDR 8M - 13.000.000  per bulan 
Web DeveloperCV. Infonet Global TechBandungIDR 4.5M - 5.500.000  per bulan Flexible working hoursHealth benefitsPositive environment19 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,CV. Infonet Global Tech,Bandung,IDR 4.5M - 5.500.000  per bulan 
ProgrammerPT Jasamedika SaranatamaBandungIDR 4M - 7.000.000  per bulan 19 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Jasamedika Saranatama,Bandung,IDR 4M - 7.000.000  per bulan 
"ProgrammerPT Bayu Sinergi SolusiBandungIDR 4.5M - 7.500.000  per bulan Gaji, bpjstk, bpjsks, bonus, thr, training19 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Bayu Sinergi Solusi,Bandung,IDR 4.5M - 7.500.000  per bulan 
BACKEND DEVELOPER - LARAVELPT Folka Indonesia TeknologiJawa BaratIDR 4M - 5.500.000  per bulan 19 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak,PT Folka Indonesia Teknologi,Jawa Barat,IDR 4M - 5.500.000  per bulan 
"Experienced Developers from any backgroundPT MitraisBali, Bandung, Yogyakarta2 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Mitrais,"Bali, Bandung, Yogyakarta",no sallary information
Programming Technical TrainerPT Kirana Tama Teknologi (Emveep)BandungHybrid Working CultureCasual & Fun7 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Kirana Tama Teknologi (Emveep),Bandung,no sallary information
PHP ProgrammerPentacode DigitalBandung7 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,Pentacode Digital,Bandung,no sallary information
IT PROGRAMMERPT Multi Star Rukun Abadi (Sharon Bakery)Bandung3 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Multi Star Rukun Abadi (Sharon Bakery),Bandung,no sallary information
Junior Web Developer (Code: DEV)PT Valuestream InternationalBandung7 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Valuestream International,Bandung,no sallary information
"WEB DeveloperPT Fan Integrasi TeknologiBekasi, BandungMedical coverageCareer developmentTeam building events6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Fan Integrasi Teknologi,"Bekasi, Bandung",no sallary information
Web DeveloperPT Citraraya NusatamaBandung8 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Citraraya Nusatama,Bandung,no sallary information
"SharePoint Developers (Full Remote)DevStackBandung, Bali, Jakarta RayaIDR 12M - 17.000.000  per bulan Full remote workingEnjoyable and collaborative working environmentWell-designed career path2 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",DevStack,"Bandung, Bali, Jakarta Raya",IDR 12M - 17.000.000  per bulan 
Backend DeveloperPT. Periksa Solusi IndonesiaJawa Barat7 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT. Periksa Solusi Indonesia,Jawa Barat,no sallary information
BACKEND DEVELOPER - NODE JSPT Folka Indonesia TeknologiJawa BaratIDR 4M - 5.500.000  per bulan 19 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak,PT Folka Indonesia Teknologi,Jawa Barat,IDR 4M - 5.500.000  per bulan 
Web ProgrammerPT Cikal Buana PersadaBandungUang Makan + Free LunchBPJS KesehatanBonus Insentif & Kesempatan Haji6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Cikal Buana Persada,Bandung,no sallary information
"Frontend DeveloperPT Intersolusi Teknologi AsiaJakarta Raya, BandungIDR 4M - 7.000.000  per bulan 8 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Intersolusi Teknologi Asia,"Jakarta Raya, Bandung",IDR 4M - 7.000.000  per bulan 
Backend DeveloperShirobyte Teknologi IndonesiaJawa Barat5 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak,Shirobyte Teknologi Indonesia,Jawa Barat,no sallary information
"Backend DeveloperPT Intersolusi Teknologi AsiaJakarta Raya, BandungIDR 4M - 7.000.000  per bulan 8 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Intersolusi Teknologi Asia,"Jakarta Raya, Bandung",IDR 4M - 7.000.000  per bulan 
PROGRAMMERPT Beton Elemenindo PerkasaBandung6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak,PT Beton Elemenindo Perkasa,Bandung,no sallary information
Web DeveloperCV NETZONE MEDIABandung10 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,CV NETZONE MEDIA,Bandung,no sallary information
"Backend EngineerPT Kode Inovasi Teknologi (CODR)Yogyakarta, Jakarta Raya, Bandung, Bogor, Surabaya, Makassar, SemarangStartup Knowledge and Working CulturePersonal DevelopmentFlexible Time (Remote Working)6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Kode Inovasi Teknologi (CODR),"Yogyakarta, Jakarta Raya, Bandung, Bogor, Surabaya, Makassar, Semarang",no sallary information
IT PROGRAMMER STAFFPT Multi Wahana KencanaBandung7 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Multi Wahana Kencana,Bandung,no sallary information
PROGRAMMERPT WHALEZ DIGITAL TEKNOLOGI BandungJawa BaratIDR 5M - 10.000.000  per bulan Bonus Setiap ProjectTunjangan Hari Raya7 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT WHALEZ DIGITAL TEKNOLOGI Bandung,Jawa Barat,IDR 5M - 10.000.000  per bulan 
IT Programming DevelopmentPT Askara InternalJawa Barat8 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak,PT Askara Internal,Jawa Barat,no sallary information
Senior Web Programmer (Laravel)Velo TeknologiBandungIDR 5M - 8.000.000  per bulan 13 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,Velo Teknologi,Bandung,IDR 5M - 8.000.000  per bulan 
WEB ENGINEERPT Sense Health IndonesiaBandungIDR 10M - 18.000.000  per bulan Career / Development opportunitiesSalary / CompensationJob Security12 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Sense Health Indonesia,Bandung,IDR 10M - 18.000.000  per bulan 
"Web ProgrammerCV Kabayan ConsultingBandung, Cimahi14 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak",CV Kabayan Consulting,"Bandung, Cimahi",no sallary information
"Backend - Frontend Web Developer (.NET Core, Golang, Laravel, NestJS, NuxtJS, VueJS, Java Spring Boot)Rolling Glory - Creative Digital EnablerJakarta Raya, Jawa Barat, Jawa TengahIDR 6M - 12.000.000  per bulan fun and positive atmosphere with friendly and passionate peopleopportunity to grow, personally and professionallyinvolvement in development of the high quality digital products12 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",Rolling Glory - Creative Digital Enabler,"Jakarta Raya, Jawa Barat, Jawa Tengah",IDR 6M - 12.000.000  per bulan 
Web DeveloperPT Super Kitchen Industri NusantaraBandungIDR 3.7M - 6.000.000  per bulan 12 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Super Kitchen Industri Nusantara,Bandung,IDR 3.7M - 6.000.000  per bulan 
Web EngineerPT Infokes Indonesia (Bandung)BandungIDR 4M - 6.000.000  per bulan Tunjangan BPJS Kesehatan & KetenagakerjaanTunjangan Hari RayaLingkungan kerja dengan asas kekeluargaan13 hari yang lalu,PT Infokes Indonesia (Bandung),Bandung,IDR 4M - 6.000.000  per bulan 
Programming Technical TrainerPT Walden Global ServicesBandung12 hari yang lalu,PT Walden Global Services,Bandung,no sallary information
"Game Developer ( Mobile HTML5 / Web / Multiplayer / Programmer )Impact360 Solutions Sdn BhdAceh, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Nusa Tenggara Barat, Nusa Tenggara Timur, Sulawesi Selatan, Sumatera Selatan, Sumatera UtaraIDR 4M - 8.000.000  per bulan Work with a great team remotelyLearn from senior developersBuild fun games in a non-toxic environment14 hari yang lalu",Impact360 Solutions Sdn Bhd,"Aceh, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Nusa Tenggara Barat, Nusa Tenggara Timur, Sulawesi Selatan, Sumatera Selatan, Sumatera Utara",IDR 4M - 8.000.000  per bulan 
"PHP / Flutter DeveloperPT Online Biz IndonesiaJakarta Raya, Surabaya, Bandung, Yogyakarta, SemarangNon-toxic work cultureRemote work, Flexible TimePerformance Bonus, THR28 hari yang lalu",PT Online Biz Indonesia,"Jakarta Raya, Surabaya, Bandung, Yogyakarta, Semarang",no sallary information
"Backend Engineer (Golang Junior)PT Kode Inovasi Teknologi (CODR)Yogyakarta, Jakarta Raya, Bandung, Surabaya, MakassarPersonal DevelopmentStartup Knowledge(Flexible Time) Remote Working6 hari yang lalu",PT Kode Inovasi Teknologi (CODR),"Yogyakarta, Jakarta Raya, Bandung, Surabaya, Makassar",no sallary information
"Programmer - Junior LevelPT Akhdani Reka SolusiBandungIDR 4M - 5.000.000  per bulan Junior level / fresh grad sedang cari pengalaman?Tempat kerja yang mendidik team atas kerja keras dan kreativitas?dan bisa WFH?  then, join us at Akhdani1 jam yang lalu",PT Akhdani Reka Solusi,Bandung,IDR 4M - 5.000.000  per bulan 
IT Pharma Manufacturing Software ArchitectPT Kalbe Farma Manufacturing ( Kalbe Farma Tbk )Jawa Barat22 hari yang lalu,PT Kalbe Farma Manufacturing ( Kalbe Farma Tbk ),Jawa Barat,no sallary information
IT SUPPORTPT Mulia LestariCimahi9 hari yang lalu,PT Mulia Lestari,Cimahi,no sallary information
Front-End ProgrammerVelo TeknologiBandungIDR 5M - 7.000.000  per bulan 15 hari yang lalu,Velo Teknologi,Bandung,IDR 5M - 7.000.000  per bulan 
Web EngineerPT Infokes Indonesia (Bandung)BandungIDR 4M - 6.000.000  per bulan Tunjangan BPJS Kesehatan & KetenagakerjaanTunjangan Hari RayaLingkungan kerja dengan asas kekeluargaan13 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Infokes Indonesia (Bandung),Bandung,IDR 4M - 6.000.000  per bulan 
"Web Programmer  (Full Stack Developer)PT. Digitalisasi Bisnis IndonesiaJakarta Raya, Bandung, Semarang, Yogyakarta, Malang13 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT. Digitalisasi Bisnis Indonesia,"Jakarta Raya, Bandung, Semarang, Yogyakarta, Malang",no sallary information
Programming Technical TrainerPT Walden Global ServicesBandung12 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Walden Global Services,Bandung,no sallary information
Web Builder & SEO OptimizerPT. Palem Gunungmas SejahteraJawa Barat9 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Paruh Waktu,PT. Palem Gunungmas Sejahtera,Jawa Barat,no sallary information
"Back End DeveloperPT Olsera Indonesia PratamaJakarta Raya, Bandung, Yogyakarta, Batam, Surabaya18 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Olsera Indonesia Pratama,"Jakarta Raya, Bandung, Yogyakarta, Batam, Surabaya",no sallary information
"Game Developer ( Mobile HTML5 / Web / Multiplayer / Programmer )Impact360 Solutions Sdn BhdAceh, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Nusa Tenggara Barat, Nusa Tenggara Timur, Sulawesi Selatan, Sumatera Selatan, Sumatera UtaraIDR 4M - 8.000.000  per bulan Work with a great team remotelyLearn from senior developersBuild fun games in a non-toxic environment14 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",Impact360 Solutions Sdn Bhd,"Aceh, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Nusa Tenggara Barat, Nusa Tenggara Timur, Sulawesi Selatan, Sumatera Selatan, Sumatera Utara",IDR 4M - 8.000.000  per bulan 
"PHP / Flutter DeveloperPT Online Biz IndonesiaJakarta Raya, Surabaya, Bandung, Yogyakarta, SemarangNon-toxic work cultureRemote work, Flexible TimePerformance Bonus, THR28 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak",PT Online Biz Indonesia,"Jakarta Raya, Surabaya, Bandung, Yogyakarta, Semarang",no sallary information
"Senior Web Application DeveloperTrinity Wizards Sdn BhdJakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Yogyakarta, Aceh, Bali, Kalimantan Barat29 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Kontrak",Trinity Wizards Sdn Bhd,"Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Yogyakarta, Aceh, Bali, Kalimantan Barat",no sallary information
PHP DeveloperPT. Komunita Ambis NusantaraBandungIDR 4M - 5.600.000  per bulan 17 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT. Komunita Ambis Nusantara,Bandung,IDR 4M - 5.600.000  per bulan 
"Backend Engineer (Golang Junior)PT Kode Inovasi Teknologi (CODR)Yogyakarta, Jakarta Raya, Bandung, Surabaya, MakassarPersonal DevelopmentStartup Knowledge(Flexible Time) Remote Working6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Kode Inovasi Teknologi (CODR),"Yogyakarta, Jakarta Raya, Bandung, Surabaya, Makassar",no sallary information
"Programmer - Junior LevelPT Akhdani Reka SolusiBandungIDR 4M - 5.000.000  per bulan Junior level / fresh grad sedang cari pengalaman?Tempat kerja yang mendidik team atas kerja keras dan kreativitas?dan bisa WFH?  then, join us at Akhdani1 jam yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu",PT Akhdani Reka Solusi,Bandung,IDR 4M - 5.000.000  per bulan 
IT Pharma Manufacturing Software ArchitectPT Kalbe Farma Manufacturing ( Kalbe Farma Tbk )Jawa Barat22 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,PT Kalbe Farma Manufacturing ( Kalbe Farma Tbk ),Jawa Barat,no sallary information
IT SUPPORTPT Mulia LestariCimahi9 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Admin Jaringan/Sistem/DatabaseJenis Pekerjaan Penuh Waktu,PT Mulia Lestari,Cimahi,no sallary information
Front-End ProgrammerVelo TeknologiBandungIDR 5M - 7.000.000  per bulan 15 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan Penuh Waktu,Velo Teknologi,Bandung,IDR 5M - 7.000.000  per bulan 
"IT MANAGERPerusahaan DirahasiakanAceh, Sumatera Utara, Sumatera Barat, Sumatera Selatan, Jakarta Raya, Tangerang, Jawa Barat, Jawa Tengah, Jawa Timur, MakassarIDR 10M - 17.000.000  per bulan 17 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Admin Jaringan/Sistem/DatabaseJenis Pekerjaan Penuh Waktu",Perusahaan Dirahasiakan,Perusahaan Dirahasiakan,IDR 10M - 17.000.000  per bulan 
"DEVELOPER/PROGRAMMER (Java , SQL)PT Sarana Pactindo (Bandung)Bandung6 hari yang laluSpesialisasi PekerjaanKomputer/Teknologi Informasi / IT-Perangkat LunakJenis Pekerjaan ",PT Sarana Pactindo (Bandung),Bandung,no sallary information
